num_inputs,num_outputs,num_registers,num_wires,num_always_sequential,num_always_combinational,num_assigns,num_case_statements,num_arithmetic_ops,num_multipliers,num_logical_ops,bitwidth_max,max_if_depth,sequential_ratio,cyclomatic_complexity,fanout_estimate,ast_depth,num_parameters,num_generate_blocks,num_memory_blocks,num_signed_ops,fsm_state_count,combinational_path_len,pipeline_depth,routing_congestion_factor,area,power,delay
9,14,105,64,14,6,34,3,17,1,31,32,2,0.7,15,4.55,7,1,4,2,3,8,14,4,9.1,2589.2635622708854,1.6282452574578619,0.48059489826322116
15,11,50,73,7,3,30,3,24,3,24,8,8,0.7,19,2.71,14,1,4,4,4,0,4,5,24.73,671.4608595362466,0.30252628968466994,0.39291136060112447
4,12,70,40,5,5,11,4,23,2,8,8,8,0.5,23,3.92,13,5,1,4,0,5,6,6,19.6,670.734247348483,0.33762759944285364,0.39710728458342687
10,10,11,6,3,4,7,1,4,0,21,16,10,0.42857142857142855,16,3.85,13,6,1,0,0,7,2,1,1.44,122.47897895337246,0.09656626382327627,0.5391376977028735
7,15,8,11,2,5,4,1,4,0,10,2,8,0.2857142857142857,13,1.61,11,1,1,0,0,7,7,1,8.86,21.855558340658817,0.008280380169968423,0.7326253296854127
7,8,8,11,2,5,4,2,1,0,10,8,9,0.2857142857142857,17,2.2,12,7,1,0,0,5,3,2,3.03,50.369340888145175,0.028809169959901956,0.3934885762801658
9,2,107,40,12,2,5,0,23,4,6,16,4,0.8571428571428571,6,8.07,8,2,3,1,1,0,18,4,20.18,1747.7334135695348,0.8332894069422145,0.5979385326062225
9,2,95,27,6,3,6,1,28,0,8,64,1,0.6666666666666666,5,10.62,4,4,3,0,0,0,17,6,4.48,2226.3504418175457,2.2618586336808724,0.429087100107077
10,12,133,29,14,4,14,1,20,1,30,64,6,0.7777777777777778,12,9.19,10,5,0,1,4,0,13,6,4.16,6401.742146548975,3.9641584605974423,0.44440028118144753
3,2,34,39,4,3,18,2,29,0,5,32,2,0.5714285714285714,7,3.76,4,1,0,2,5,0,16,5,4.58,970.8202876290466,0.6242749072168624,0.40986417154945853
7,3,19,54,9,2,24,0,31,1,4,64,1,0.8181818181818182,3,2.46,5,1,1,2,1,0,5,2,2.08,4758.250689521559,1.2560292375483468,1.7141805099533023
12,8,24,24,1,1,6,2,3,0,16,16,10,0.5,18,2.89,12,4,0,0,0,4,2,1,4.33,185.71967556401063,0.16753050026795135,0.5947558975392865
9,1,16,53,6,0,21,2,35,0,13,32,4,1.0,10,2.39,8,4,2,0,5,0,18,2,3.96,401.05053611169444,0.31146642897776067,0.7296523232549377
10,3,20,59,8,0,23,0,8,6,15,32,1,1.0,3,2.39,4,4,3,1,3,0,6,2,4.41,5116.053501472144,1.240673662592391,5.553263042429251
6,1,70,22,4,1,17,0,34,4,4,16,2,0.8,3,11.32,5,0,3,2,4,0,16,4,15.57,1566.6337013218606,0.7351480690067637,0.5373322621558558
6,2,28,20,2,3,0,3,4,0,24,4,7,0.4,19,3.4,8,2,0,0,0,3,5,2,17.0,78.81061322156332,0.050597966293123874,0.522888758259929
2,12,7,24,2,4,1,3,4,0,22,8,9,0.3333333333333333,21,0.61,12,4,0,0,0,10,6,2,1.83,60.74601639669782,0.028561118075890405,0.4575591046010583
5,4,57,28,7,7,10,2,11,2,32,32,5,0.5,14,5.4,7,3,4,1,1,8,7,6,4.73,2414.6115269827656,0.9820142818306117,0.29656343848168437
9,6,10,8,1,2,2,2,0,0,27,4,2,0.3333333333333333,9,3.3,3,6,0,0,0,7,3,1,6.6,39.58741857971432,0.022084935738038467,0.4007493478827159
20,11,116,66,5,4,30,2,16,1,11,64,7,0.5555555555555556,15,5.17,9,3,4,2,2,5,7,2,5.33,6678.360410254063,3.7863025790557665,1.847320401671213
8,3,104,15,11,2,21,1,7,2,3,64,2,0.8461538461538461,6,20.69,5,3,2,0,4,0,10,6,4.85,7657.465810931354,3.430522797599225,0.35468970927323784
18,3,169,39,15,7,28,3,11,4,39,8,7,0.6818181818181818,20,12.29,13,4,4,1,3,8,14,5,59.91,888.0327878385989,0.6266242870552504,0.8137081744870271
6,7,10,13,3,5,4,5,2,0,9,1,3,0.375,21,2.2,4,3,1,0,0,9,3,1,28.6,20.934391539407766,0.00465909203124391,0.7747764876951
20,8,108,70,12,1,29,3,7,3,32,16,6,0.9230769230769231,19,4.83,8,1,0,4,1,3,6,2,21.13,1969.8773867747589,0.9465453089231822,2.638868523508376
5,16,179,20,13,1,23,3,9,4,29,8,3,0.9285714285714286,15,13.8,9,6,2,2,2,8,8,3,34.5,893.3728873070372,0.617995158377933,0.6151236268828799
11,15,18,8,2,4,6,2,3,0,30,16,3,0.3333333333333333,10,3.35,4,3,1,0,0,7,8,2,1.68,172.67572433923013,0.14296127295401317,0.3916549544106791
5,1,16,44,7,2,18,0,26,2,12,64,2,0.7777777777777778,4,2.43,5,0,2,0,6,0,4,8,1.67,5933.23027381632,1.3656527362556676,0.2331378883738468
11,6,24,19,2,4,2,5,0,0,27,16,7,0.3333333333333333,25,3.26,9,7,0,0,0,6,7,2,3.87,197.0417736135956,0.17960890892550446,0.49951262731564494
19,15,90,53,13,3,33,4,22,2,33,16,6,0.8125,22,5.01,12,5,4,3,3,0,5,4,16.6,1479.0054921756728,0.8057589511485828,0.4178291168960765
16,7,47,86,7,4,16,3,10,3,22,8,8,0.6363636363636364,20,2.04,10,4,2,0,0,0,6,3,21.93,362.12411953360606,0.21413118575190573,0.5706714459028728
8,11,26,18,3,1,0,1,1,0,27,16,5,0.75,11,2.58,8,1,1,0,0,11,8,2,2.9,218.07971289922926,0.17483676987066363,0.45883585059468845
10,3,152,56,12,3,15,3,15,4,37,8,4,0.8,14,7.2,9,3,0,0,0,3,14,4,50.4,780.5213835624415,0.5648829072519396,0.7733867375391309
6,16,52,44,6,3,8,2,16,2,12,32,3,0.6666666666666666,12,2.64,9,4,2,3,0,8,14,3,3.63,2900.335701789857,1.1847546246961624,0.5208089356750059
7,3,104,34,4,2,9,1,22,4,8,64,4,0.6666666666666666,8,9.08,6,3,2,1,5,0,14,6,4.82,12883.81881581733,4.150589225376005,0.45491648799333145
6,7,31,6,3,5,5,4,0,0,14,16,10,0.375,25,7.11,11,5,1,0,0,5,8,2,2.67,207.4781355492998,0.20321383142194477,0.5854647052304317
8,2,60,30,11,0,15,1,33,1,15,16,3,1.0,7,7.26,7,3,1,0,5,0,7,4,13.61,707.4953305006512,0.4801968892733942,0.3480859935369285
5,3,102,45,10,3,25,0,14,5,7,16,3,0.7692307692307693,4,7.7,5,4,2,0,2,0,15,2,21.66,1766.4460606824907,0.7938321242245786,4.039659320795751
6,16,150,41,11,4,27,3,18,1,22,16,3,0.7333333333333333,14,7.71,5,5,4,2,1,8,8,2,19.76,1442.9255324502867,1.125147023868583,1.2174658334493769
7,16,166,51,10,1,19,3,20,3,28,32,8,0.9090909090909091,20,6.88,11,6,1,3,2,8,11,2,10.96,5169.255181870847,2.7418984747992745,3.3501397002670528
9,4,60,40,4,3,12,0,21,2,11,32,3,0.5714285714285714,4,5.15,5,3,3,0,6,0,12,7,6.44,2263.30505599074,0.990334292686668,0.32057476920665484
3,11,12,20,2,4,5,2,2,0,15,1,10,0.3333333333333333,17,1.42,12,8,0,0,0,12,8,1,28.4,24.25915855960035,0.006137451088766105,1.0985021844762801
3,7,12,23,3,3,8,3,2,0,22,2,8,0.5,20,1.69,9,3,1,0,0,3,3,2,19.43,33.07111769617524,0.012006618277702757,0.5367546513325273
4,13,42,78,10,4,16,4,15,1,28,32,3,0.7142857142857143,16,1.64,6,2,2,4,0,0,9,2,4.0,2464.466092490554,1.1154799012905234,1.4005486103895401
7,2,12,12,2,2,6,1,1,0,23,2,5,0.5,9,3.93,8,6,1,0,0,7,3,2,23.58,38.27868051579791,0.012381759952233413,0.4710982077443275
3,1,68,55,10,0,24,2,6,4,15,8,1,1.0,7,4.75,5,1,3,2,3,0,10,7,32.66,665.2695558632173,0.2920600576772035,0.40059178457992195
3,2,56,24,8,0,19,0,13,6,7,8,1,1.0,2,8.4,4,1,3,1,3,0,11,4,25.2,606.5213130221556,0.2983171015759366,0.5012731367717902
4,14,13,5,1,4,0,2,1,0,28,1,6,0.2,15,1.97,7,4,1,0,0,10,3,1,9.85,14.641632870219118,0.0061567404906467385,0.5223584143005507
10,4,19,49,12,3,18,1,28,0,7,32,3,0.8,6,2.48,5,2,3,1,6,0,14,4,3.8,700.3690202263045,0.36786616129120586,0.44575312996869465
16,16,72,82,7,4,26,1,8,1,24,8,4,0.6363636363636364,10,2.79,8,2,1,3,4,8,5,2,28.6,662.7601730171582,0.3174559631145851,1.0856531676084396
3,8,20,6,3,4,1,3,4,0,6,1,8,0.42857142857142855,18,3.77,10,1,1,0,0,6,7,2,22.62,22.12939093487968,0.007988043498413856,0.6495929544829026
7,3,40,39,3,1,20,2,10,2,10,32,2,0.75,7,4.47,4,4,0,2,0,0,6,7,5.45,2567.857545502705,0.9230913392229252,0.242661295260448
7,10,17,21,1,5,3,4,3,0,19,8,6,0.16666666666666666,20,1.92,7,4,1,0,0,12,3,2,5.04,106.61736593299986,0.05903646053048487,0.3622059275221279
7,2,59,18,8,3,17,0,22,6,6,16,2,0.7272727272727273,4,11.62,4,3,2,0,6,0,17,4,13.07,1626.5244829140406,0.6100054895785,0.5255279029751007
8,5,19,7,2,2,7,2,3,0,7,2,2,0.5,9,6.23,5,8,1,0,0,9,3,2,21.8,42.989981331749924,0.016906433157679732,0.41535691668401137
11,7,10,21,3,5,5,3,4,0,29,2,6,0.375,17,2.04,9,6,1,0,0,7,2,2,21.42,37.55299269604988,0.011910126888241104,0.4778028806173804
20,6,144,32,13,4,17,2,9,4,12,32,7,0.7647058823529411,15,11.43,9,2,2,4,2,8,12,4,11.43,6148.737296885971,2.6777651372526523,0.5564897848405205
5,14,30,14,1,3,5,3,3,0,7,16,7,0.25,17,3.14,8,3,1,0,0,7,3,1,2.75,229.18231020006277,0.20229054393753534,0.5190350249150391
